实体,属性,值
中国,全称,中华人民共和国
中国,首都,北京
中国,面积,960万平方公里
中国,人口,14亿
中国,官方语言,汉语
中国,货币,人民币
中国,国庆日,10月1日
北京,类型,直辖市
北京,是...的首都,中国
北京,面积,16410.54平方公里
北京,人口,2189万
北京,景点,天安门
北京,景点,故宫
北京,景点,长城
天安门,位于,北京
天安门,类型,地标
天安门,建造时间,1417年
故宫,位于,北京
故宫,类型,世界文化遗产
故宫,建造时间,1406年
长城,位于,北京
长城,类型,世界文化遗产
长城,建造时间,公元前7世纪
汉语,语系,汉藏语系
汉语,使用人口,14亿
汉语,文字,汉字
汉字,类型,表意文字
汉字,字符数,10万以上
人民币,发行机构,中国人民银行
人民币,单位,元
人民币,辅币单位,角
物理学,分支,经典力学
物理学,分支,量子力学
物理学,分支,相对论
物理学,研究内容,物质结构
物理学,研究内容,物质相互作用
物理学,研究内容,物质运动规律
经典力学,提出者,牛顿
经典力学,核心定律,牛顿三定律
经典力学,核心定律,万有引力定律
牛顿,国籍,英国
牛顿,出生年份,1643年
牛顿,逝世年份,1727年
牛顿,主要贡献,经典力学
牛顿,主要贡献,微积分
牛顿,主要贡献,万有引力定律
量子力学,提出者,普朗克
量子力学,提出者,爱因斯坦
量子力学,提出者,玻尔
量子力学,核心概念,波粒二象性
量子力学,核心概念,不确定性原理
爱因斯坦,国籍,德国
爱因斯坦,出生年份,1879年
爱因斯坦,逝世年份,1955年
爱因斯坦,主要贡献,相对论
爱因斯坦,主要贡献,光电效应
相对论,提出者,爱因斯坦
相对论,类型,广义相对论
相对论,类型,狭义相对论
玻尔,国籍,丹麦
玻尔,出生年份,1885年
玻尔,逝世年份,1962年
玻尔,主要贡献,原子结构理论
人工智能,研究领域,机器学习
人工智能,研究领域,自然语言处理
人工智能,研究领域,计算机视觉
人工智能,应用领域,自动驾驶
人工智能,应用领域,智能客服
人工智能,应用场景,医疗诊断
机器学习,子领域,深度学习
机器学习,子领域,强化学习
机器学习,子领域,监督学习
深度学习,核心模型,卷积神经网络
深度学习,核心模型,循环神经网络
深度学习,核心模型,Transformer
Transformer,提出时间,2017年
Transformer,提出机构,Google
Transformer,核心机制,自注意力机制
卷积神经网络,应用场景,图像识别
循环神经网络,应用场景,自然语言处理
计算机,组成,硬件
计算机,组成,软件
计算机,类型,超级计算机
计算机,类型,个人计算机
计算机,类型,嵌入式计算机
超级计算机,应用场景,科学计算
超级计算机,应用场景,天气预报
太阳能,类型,可再生能源
太阳能,转换方式,光伏发电
太阳能,转换方式,光热发电
可再生能源,类型,太阳能
可再生能源,类型,风能
可再生能源,类型,水能
风能,类型,可再生能源
风能,应用场景,风力发电
水能,类型,可再生能源
水能,应用场景,水力发电
植物,类型,被子植物
植物,类型,裸子植物
植物,组成部分,根
植物,组成部分,茎
植物,组成部分,叶
植物,组成部分,花
植物,组成部分,果实
光合作用,进行者,植物
光合作用,需要,阳光
光合作用,需要,水
光合作用,需要,二氧化碳
光合作用,产生,氧气
光合作用,产生,葡萄糖
中医,理论基础,阴阳五行
中医,诊断方法,望闻问切
中医,治疗方法,中药
中医,治疗方法,针灸
中药,理论基础,性味归经
中药,剂型,汤剂
中药,剂型,丸剂
中药,剂型,散剂
针灸,组成部分,针法
针灸,组成部分,灸法
黄帝内经,类型,中医经典
黄帝内经,成书时间,战国时期
伤寒论,作者,张仲景
伤寒论,类型,中医经典
本草纲目,作者,李时珍
本草纲目,成书时间,1578年
本草纲目,内容,药物学
太极拳,类型,中国传统武术
太极拳,特点,刚柔相济
太极拳,健康效益,改善平衡
太极拳,健康效益,减压
瑜伽,起源,印度
瑜伽,类型,身心练习
瑜伽,健康效益,增强柔韧性
地球,类型,行星
地球,所属星系,太阳系
地球,卫星,月球
地球,表面积,5.1亿平方公里
地球,陆地面积,1.49亿平方公里
地球,海洋面积,3.61亿平方公里
太阳系,中心天体,太阳
太阳系,行星数量,8
太阳系,行星,水星
太阳系,行星,金星
太阳系,行星,地球
太阳系,行星,火星
太阳系,行星,木星
太阳系,行星,土星
太阳系,行星,天王星
太阳系,行星,海王星
月球,类型,卫星
月球,围绕,地球
月球,直径,3474公里
月球,与地球距离,38.4万公里
